Fleet,Make,Model,CurrentPowerType,ProposedPowerType,Reason
FN2717,EP,CQE12R,Unset,Electric,No approved high-confidence rule; retained as ICE and listed for review.
FN2718,EP,CQE12R,Unset,Electric,No approved high-confidence rule; retained as ICE and listed for review.
FN2719,EP,CQE12R,Unset,Electric,No approved high-confidence rule; retained as ICE and listed for review.
FN2402,EP,CQE15S,Unset,Electric,No approved high-confidence rule; retained as ICE and listed for review.
FN2715,EP,CQE15S,Unset,Electric,No approved high-confidence rule; retained as ICE and listed for review.
FN2730,EP,CQE15S,Unset,Electric,No approved high-confidence rule; retained as ICE and listed for review.
FN2149,EP,CQE15S Li,Unset,Electric,No approved high-confidence rule; retained as ICE and listed for review.
FN2576,EP,EFL251B,Unset,Electric,No approved high-confidence rule; retained as ICE and listed for review.
FN2577,EP,EFL251B,Unset,Electric,No approved high-confidence rule; retained as ICE and listed for review.
FN2621,EP,EFL252,Unset,Electric,No approved high-confidence rule; retained as ICE and listed for review.
,EP,EFL253,Unset,Electric,No approved high-confidence rule; retained as ICE and listed for review.
FN2631,EP,EFL253P,Unset,Electric,No approved high-confidence rule; retained as ICE and listed for review.
FN2637,EP,EFL303P,Unset,Electric,No approved high-confidence rule; retained as ICE and listed for review.
FN2738,EP,EFL303P,Unset,Electric,No approved high-confidence rule; retained as ICE and listed for review.
,EP,EFL303s,Unset,Electric,No approved high-confidence rule; retained as ICE and listed for review.
FN2566,EP,EFL352,Unset,Electric,No approved high-confidence rule; retained as ICE and listed for review.
FN2503,EP,EFL353P,Unset,Electric,No approved high-confidence rule; retained as ICE and listed for review.
FN2725,EP,EFL353P,Unset,Electric,No approved high-confidence rule; retained as ICE and listed for review.
PPSEngineering,EP,EFL353P,Unset,Electric,No approved high-confidence rule; retained as ICE and listed for review.
FN2740,EP,EFLA301S,Unset,Electric,No approved high-confidence rule; retained as ICE and listed for review.
SmartSupermarket07,EP,EFXZ-251,Unset,Electric,No approved high-confidence rule; retained as ICE and listed for review.
FN2744,EP,J1HD,Unset,Electric,No approved high-confidence rule; retained as ICE and listed for review.
,EP,J1HD-210,Unset,Electric,No approved high-confidence rule; retained as ICE and listed for review.
,EP,JX0,Unset,Electric,No approved high-confidence rule; retained as ICE and listed for review.
FN2438,EP,JX1,Unset,Electric,No approved high-confidence rule; retained as ICE and listed for review.
FN2488,EP,JX1,Unset,Electric,No approved high-confidence rule; retained as ICE and listed for review.
FN1931,EP,QS10MM-1900,Unset,Electric,No approved high-confidence rule; retained as ICE and listed for review.
FN2742,EP,RTF25-4L-HV,Unset,Electric,No approved high-confidence rule; retained as ICE and listed for review.
FN2467,EP,TDL201,Unset,Electric,No approved high-confidence rule; retained as ICE and listed for review.
MetalcraftPanels,Hubtex,Flux 30,Unset,Electric,No approved high-confidence rule; retained as ICE and listed for review.
MetalcraftPanels1,Hubtex,Flux 40,Unset,Electric,No approved high-confidence rule; retained as ICE and listed for review.
Honda2,Jungheinrich,EFG BB 216K/GF500DZ,Unset,Electric,No approved high-confidence rule; retained as ICE and listed for review.
FN1848,Komatsu,,Unset,ICE,No approved high-confidence rule; retained as ICE and listed for review.
FN1193,Komatsu,829057,Unset,Electric,No approved high-confidence rule; retained as ICE and listed for review.
Cairnscorp,Mitsubishi,FG25.M712,Unset,ICE,No approved high-confidence rule; retained as ICE and listed for review.
FN1703,Mulcahy,RX60-25,Unset,Electric,No approved high-confidence rule; retained as ICE and listed for review.
CoastlineTransport,Omega,TECH-10,Unset,Electric,No approved high-confidence rule; retained as ICE and listed for review.
FN1985,Still,EK-X24,Unset,Electric,No approved high-confidence rule; retained as ICE and listed for review.
FN1789,Still,EXU-SF20,Unset,Electric,No approved high-confidence rule; retained as ICE and listed for review.
FN1871,Still,FM-X14,Unset,Electric,No approved high-confidence rule; retained as ICE and listed for review.
FN1829,Still,FM-X20,Unset,Electric,No approved high-confidence rule; retained as ICE and listed for review.
FN2350,Still,FMX-25,Unset,Electric,No approved high-confidence rule; retained as ICE and listed for review.
VisyboardVRT00035,Still,FMX-25,Unset,Electric,No approved high-confidence rule; retained as ICE and listed for review.
FN2132,Still,FM-X25,Unset,Electric,No approved high-confidence rule; retained as ICE and listed for review.
FN1579,Still,RX70-30H,Unset,ICE,Still RX70 hybrid family cannot be represented by the current ICE/Electric Choice.
TWTCMFHG25N5,TCM,FHG25N5,Unset,ICE,No approved high-confidence rule; retained as ICE and listed for review.
,Toyata,02-7FG30,Unset,ICE,No approved high-confidence rule; retained as ICE and listed for review.
FirstExport,Toyota,7FG25,Unset,ICE,No approved high-confidence rule; retained as ICE and listed for review.
Cam65,Toyota,Hiace,Unset,ICE,No approved high-confidence rule; retained as ICE and listed for review.
Magnus,YALE,FD25PVII,Unset,ICE,No approved high-confidence rule; retained as ICE and listed for review.
